序号,姓名,英文/拼音,性别,国籍,机构名称,专业背景,类别,合作内容,职务
280,Eric Guillouard,,男,法国,,,企业,,Atelier3D couleur 色彩专家与工程师 couleur & développement
281,马修·雷汉尼尔,,男,法国,,,企业,,法国著名设计师
283,Chantal Hamaide,,女,法国,,,媒体,2017初评评委,"法国知名设计杂志intramuros 创始人，主编
Founder and Chief Editor of intramuros (French design magazine)"
284,Camille Vilain,,女,法国,,,奖项/组委会,"2016提名专家
2017提名专家",圣太田设计双年展
285,Bernard Reybier,,/,法国,,,协会,,VIA 主席（当代艺术设计中心）
286,Benjamin Loyaute,,男,法国,,,奖项/组委会,2017提名专家,"知名策展人，专栏作家，设计评论家
Well-known curator, columnist, design critic"
287,Alok NANDI,,/,法国,,,协会,,President IxDA（国际交互设计协会）
288,Brenda SANDERSON,,/,法国,,,协会,,Executive Director IxDA（国际交互设计协会）
289,波吉特麦格,Birgit Mager,女,德国,,,协会,,Service Design Network (SDN) President， Prof.
290,Wolfgang Lösche,,男,德国,,,奖项/组委会,2017提名专家,"慕尼黑与北拜伦州手工艺联盟
HandwerkskammerLeiter der Abteilung 部门主管"
291,Sabine Unger,,女,德国,,,奖项/组委会,2017提名专家,Bayern design 慕尼黑创意商业设计周 慕尼黑创意商业设计周主管  Leitung MCBW
292,WassiliJ Grod,,/,德国,,,企业,,设计师
293,Welf Oertel,,/,德国,,,企业,,设计师
294,Michaela Braesel,,/,德国,,,奖项/组委会,,"慕尼黑与北拜伦州手工艺联盟
HandwerkskammerMessen und Ausstellungen"
295,翁昕煜,Xinyu Weng,男,德国,,,企业,,Yuue Design  创始人之一，设计师
296,Julia Donath,,女,德国,,,企业,,Studio Montag
297,Anna Quentin,,女,德国,,,企业,,Mykita Studiojunior designer
298,Oliver Beisel,,/,德国,,,企业,,Frog Design München 青蛙设计欧洲总部总经理general Manager
299,Todd Douglas Taylor,,男,德国,,,企业,,Frog Design München 青蛙设计欧洲总部市场总监 Marketing Director
300,Jennifer Rieker,,女,德国,,,企业,,Bags&More.设计师
301,Daniel Klapsing,,男,德国,,,奖项/组委会,,"45kilo
My Kilos GmbH"
304,贺迈,Mathis Heller,男,德国,,,企业,"2016复评评委
2016总决赛评委
2017提名专家
2019复评评委
2019总决赛评委","德稻贺迈设计汽车及工业设计工作室创始人
Founder, Studio Heller of Automobile and Industrial Design, DeTao Group"
305,Paula Weise,,/,德国,,,奖项/组委会,2017提名专家,Adream可持续设计竞赛项目经理
307,罗伯特巴根,Robert Baggen,男,德国,,,企业,,TUV汉德工业技术有限公司用户体验总经理
308,概深,Bernhard Geisen,男,德国,,,企业,2017提名专家,Bernhard Geisen 首席设计师，设计总监
310,Nina Shell,,女,德国,,,奖项/组委会,2017提名专家,慕尼黑创意商业设计周 公关部主管
