序号,姓名,英文/拼音,性别,国籍,机构名称,专业背景,类别,合作内容,职务
31,李亚军,Yajun Li,男,中国,,工业设计,协会,,"中国机械工程学会工业设计分会常务理事
南京理工大学设计艺术与传媒学院院长、教授"
32,吴琼,Qiong Wu,男,中国,,工业设计,协会,,"中国机械工程学会工业设计专业委员会委员
南京工业大学艺术设计学院院长、教授"
33,张锡,Xi Zhang,男,中国,,,协会,,"江苏省工业设计学会副理事长兼秘书长
无锡太会学院艺术学院院长、教授"
39,祝骏,,男,中国,,,企业,,江苏翰港文化传播有限公司董事长
40,王愉翔,,男,中国,,,企业,,江苏古河创意设计研究院有限公司董事长
41,褚梵,,男,中国,,,企业,,正明道教育科技CEO
46,邱丰顺,KUMO CHIU,男,中国（台湾）,China(Taiwan),工业设计,企业,2019初评评委,"北京壹玖贰伍文化创意有限公司 总经理
CEO of RE&DER"
49,潘云鹤,,男,中国,,计算机,政府,2018总决赛评委,"中国工程院院士
Academician of the Chinese Academy of Engineering"
50,张明,,男,中国,,,协会,"2016优秀提名专家
2017提名专家","南京艺术学院工业设计学院院长
中国工业设计协会设计专业委员会副秘书长
中国工业设计协会教育分会副理事长
江苏工业设计学会副秘书长"
58,李建新,,男,中国,,,协会,,中国电器工业协会
59,童锦波,,男,中国,,,协会,,"意大利金圆规奖亚洲计划发起人、中国工业设计协会
知识产权交易平台总监"
60,谭志虎,,男,中国,,,企业,,香港京华山一上海总经理
63,季铁,,男,中国,,,协会,"2016提名专家
2017提名专家
2018提名专家
2018复评评委
2019初评评委",湖南大学设计艺术学院，副院长
66,宋慰祖,,男,中国,,,协会,2018提名专家,中国民主同盟北京市委员会
67,丁磊,,男,中国,,计算机,网易公司董事局主席兼首席执行官,,网易公司董事局主席兼首席执行官
70,张雷,,男,中国,,,企业,2016优秀提名专家,品物流形设计公司创始人
74,周红石,,男,中国,,,协会,"2016优秀提名专家
2017提名专家
2018提名专家
2018初评评委","中国美术学院教授 
China Academy of Art,Professor"
75,陈永进,,男,中国,,,企业,,黑马金融CEO
76,王坚,,男,中国,,计算机,企业,,阿里巴巴集团技术委员会主席
79,夏高生,,男,中国,,工业设计,协会,,"中国建筑环境设计产业联盟副理事长
中国陶瓷大师联盟常务副主席
中国建筑卫生陶瓷协会驻会副会长"
109,李凤朗,,男,中国,,,企业,2018初评评委,"设计师产品品牌L+Design总经理兼首席设计师
General Manager and Designer of L+Design"
110,晋常宝,,男,中国,,,企业,2018初评评委,"杭州瑞德设计股份有限公司联合创始人、副总裁
Co-founder/Dean President of R&D Design PLC"
111,刘德,,男,中国,,工业设计,企业,"2018初评评委
2019总决赛评委","小米公司联合创始人/高级副总裁
Co-founder/Senior Vice President of Xiaomi Group"
112,卢刚,,男,中国,,工业设计,企业,"2016提名专家
2019初评评委","动点科技创始人
Founder of Tech Node"
113,刘宁,,男,中国,,工业设计,协会,,中国工业设计协会会长，中国设计师联盟主席；
114,梁山鹰,,男,中国（香港）,China(HongKong),广告学,企业,2017初评评委,"蚂蚁金服集团用户体验设计总监，蚂蚁金服集团UED委员会主席
Ant Financial Services Group, Design Director of User Experience，Chairman of UED Committee"
115,李建国,Chien-Kuo Lee,男,中国（台湾）,China(Taiwan),市场营销,企业,"2016提名专家
2017提名专家","iF设计亚洲公司总经理
 Managing Director of iF Design Asia Ltd."
121,陈冬亮,,男,中国,,工业设计,奖项/组委会,2017初评评委,"中国设计红星奖委员会执行主席、中国工业设计协会副会长
Executive Chairman of Red Star Design Award Committee, Vice President of China Industrial Design Association"
123,Paul Thompthan,Paul Thompthan,男,中国,,,企业,,苹果设计总监
124,曾辉,,男,中国,,,奖项/组委会,"2016优秀提名专家
2016初评评委
2017提名专家
2018提名专家
2018复评评委","北京国际设计周组委会办公室副主任   
Beijing Design Week Organizing Committee, Vice Director"
126,顾斌,,男,中国,,,企业,"2016提名专家
2017提名专家
2018提名专家",浙江省创业风险投资行业协会秘书长
128,胡艳力,,女,中国,,广告学,企业,,网易家居全国总编辑
129,张兵,,女,中国,,,企业,2016提名专家,"RüCKER LYPSA, S.L.U. EDAG Group 西班牙瑞克爱达克集团汽车设计及工程项目管理经理，中国区"
130,刘力丹,,女,中国,,工业设计,企业,2018提名专家,Managing director @ Designaffairs China
131,于冰,,女,中国,,建筑,媒体,2018提名专家,DOMUS国际中文 总编辑
132,石英,,女,中国,,,企业,,设计先临负责人
133,纪卫平,,女,中国,,,协会,,浙江省物联网产业协会秘书长
134,兰翠芹,,女,中国,,,协会,"2016提名专家
2017提名专家","中国工业设计协会运营总监, 北京市设计学会副会长
China Industrial Design Association(CIDA), Operations Director 
Beijing Design Society，Vice President"
135,戴蓓,,女,中国,,,媒体,2016优秀提名专家,新浪家居总编
137,姜峰,,男,中国（香港）,China(HongKong),,企业,,深圳市杰恩创意设计股份有限公司董事长兼总设计师                        CEO & General Designer of J&A
141,刘小康,Freeman Lau,男,中国（香港）,China(HongKong),,企业,"2017提名专家
2019总决赛评委","香港设计总会秘书长
The secretary-general of Hong Kong Federation of Design Associations(FHKDA)"
142,Frederic Gooris,Frederic Gooris,男,中国（香港）,China(HongKong),,企业,,"principle designer of Studio Gooris Limited
工作室主设计师
www.studiogooris.com"
144,王千睿,,男,中国（台湾）,China(Taiwan),,企业,"2016提名专家
2017提名专家",明基副总（前台湾师大设计系）
145,李盛弘,,男,中国（台湾）,China(Taiwan),,奖项/组委会,,IDEO上海办公室设计师
148,宋同正,,男,中国（台湾）,China(Taiwan),,奖项/组委会,,台湾创意设计中心CEO
149,李圣恩,,男,中国（台湾）,China(Taiwan),,协会,,台北市工业设计发展协会
150,刘传凯,Carl Liu,男,中国（台湾）,China(Taiwan),,企业,2018复评评委,牛电科技有限责任公司设计副总裁                                                                    Vice President of Design of NIU
151,袁学智,Freddie Yuan,男,中国（台湾）,China(Taiwan),,企业,2018初评评委,"富士康科技集团首席行销长
CMO of Foxconn"
153,郭介诚,Kuo Jieh-Cheng,男,中国（台湾）,China(Taiwan),,协会,"2016优秀提名专家
2016初评评委
2017提名专家","台湾工业设计协会秘书长, 
 台湾设计联盟理事长  
Chinese Industrial Designers Association, Secretary- General; 
Taiwan Design Alliance, Chairman"
155,praseuth Banchongphakdy,praseuth Banchongphakdy,男,老挝,,,企业,,Principle of BlueGrass Design Group Company Limited.
158,Herman Tandberg,Herman Tandberg,男,挪威,,,企业,"2016提名专家
2017提名专家","Ogle Noor 总裁,设计总监     
 Chairman and  Design Director of Ogle Noor"
160,CHRISTIAN GILLES BOUCHARENC,,男,新加坡,,,协会,2017提名专家,"Head,
Associate Professor. Ph.D, K.D.U Kobe, Japan"
161,Brandon Gien,,男,澳大利亚,,,协会,"2016复评评委
2017提名专家","澳大利亚Good Design CEO；国际工业设计联合会-世界设计组织参议员
CEO, GOOD DESIGN AUSTRALIA；
SENATOR, ICSID – WORLD DESIGN ORGANIZATION"
162,白福瑞,Florin Pierre Baeriswyl,男,瑞士,,,企业,,徳稻大师白福瑞工作室 CEO， 徳稻大师
164,索非亚 贺,Sofia He,女,瑞典,,,协会,,"瑞中可持续设计协会 执行长 
Sino-Sweden Sustainable Design Managing Director"
165,Mårten Claesson,,男,瑞典,,,企业,2018复评评委,Claesson Koivisto Rune联合创始人/设计师                                                            Designer & Co-owner of Claesson Koivisto Rune
167,布勒瓦·恩吉瓦娜,Bulelwa Makelima Ngewana,女,南非,,,企业,,"开普敦联合会 首席执行官CEO
CEO of Cape Town Paternship"
169,塞韦林·费莱克,Severin Filek,男,奥地利,,,协会,,Founder and Managing Director of hi-pe.at/ President of Designaustria
170,马丁 福斯莱特纳,Martin Foessleitner,男,奥地利,,,协会,"2017初评评委
2018初评评委","设计公司hi-pe.at创始人，总经理; 奥地利设计协会主席
Founder and Managing Director of hi-pe.at; President of designaustria"
171,克里斯蒂安 施伟科,Christian Schwamkrug,男,德国,,,企业,"2017提名专家
2018总决赛评委","保时捷设计工作室设计总监
Design Director of Studio F.A. Porsche"
174,Zinnia Nizar,,女,印度,,,协会,,Vice president 2017-2019
177,延森,Timothy Jensen,男,丹麦,,,企业,2017提名专家,Jacob Jensen Design(雅各布.延森设计公司)首席设计师、国际著名工业设计大师
178,哈比普·阿萨恩,Harbip ASAN,男,土耳其,,,协会,2018提名专家,"土耳其专利局主席 Turkish Patent Institute President, Prof.Dr."
179,塞米勒·巴斯皮那,Cemil Baspinar,男,土耳其,,,协会,,土耳其专利局 副主席
